name,aspace_id
"Democratic National Convention (1976 : New York, NY)",/agents/corporate_entities/2
University of Michigan. Committee on Vocational Counsel and Placement.,/agents/corporate_entities/3
University of Michigan. Center for Ultrafast Optical Science.,/agents/corporate_entities/4
Western Washtenaw Area PTA (Mich.),/agents/corporate_entities/5
Central Mississippi Valley Archaeological Survey.,/agents/corporate_entities/6
"Van Houweling, Douglas E.",/agents/people/4
National Security League. Ann Arbor Branch (Mich.),/agents/corporate_entities/7
"Brashares, Charles W., 1891-1982.",/agents/people/6
Conference for Progressive Labor Action.,/agents/corporate_entities/8
University of Michigan. Department of Philosophy.,/agents/corporate_entities/9
"Ferry, William Montague, 1824-1905.",/agents/people/8
"Mission of the Redeemer (East Jordan, Mich.)",/agents/corporate_entities/10
"Taylor, Earsley.",/agents/people/9
"Bezner, Frederick O.",/agents/people/10
"McGrath, John W., b. 1837.",/agents/people/5974
"Roper, Richard F.",/agents/people/11
"Pilling, Patricia L.",/agents/people/8606
"Flynn, Felix H. H., 1881-",/agents/people/12
Michigan. Governor (1991-2003: Engler),/agents/corporate_entities/11
"United States. Army. Michigan Infantry Regiment, 18th (1862-1865). Company C.",/agents/corporate_entities/12
Fontana (Ship),/agents/corporate_entities/13
"Joiner, Charles Wycliffe, 1916-",/agents/people/15
"Pike, Zebulon Montgomery, 1779-1813.",/agents/people/16
Day Automobile Company,/agents/corporate_entities/14
"Kilpatrick, Kwame M., 1970-",/agents/people/17
Barry County Health Dept.,/agents/corporate_entities/15
Learning Disabilities Association of Michigan.,/agents/corporate_entities/16
Federal Judicial Center.,/agents/corporate_entities/17
"Achilles, Theodore C. (Theodore Carter), 1905-1986",/agents/people/18
"Ehrlich, Paul, 1854-1915.",/agents/people/5977
"Johnson, Pyke.",/agents/people/4472
East Jordan & Southern Railroad Company.,/agents/corporate_entities/18
"Hill, Mary.",/agents/people/3
"Kennedy, John F. (John Fitzgerald), 1917-1963",/agents/people/19
"Graff, Otto G.",/agents/people/20
"Johnson, Robert Underwood, 1853-1937.",/agents/people/21
"Walker, Jack L.",/agents/people/22
"Sanger, Margaret, 1879-1966.",/agents/people/23
"Mack, Connie, 1862-1956.",/agents/people/24
"Cobb, Henry Ives, 1859-1931.",/agents/people/25
University of Michigan. Dept. of Medical Care Organization.,/agents/corporate_entities/19
University of Michigan. Choral Union.,/agents/corporate_entities/20
"Eisenhower, Edgar, 1889-1971",/agents/people/4972
TEACH Michigan.,/agents/corporate_entities/21
Isle Royale Mining Company.,/agents/corporate_entities/22
"Bashert, Beth.",/agents/people/5
"Daly, Arnold, 1875-1927.",/agents/people/8719
"Miller, Guy Alonzo, 1875-",/agents/people/28
Food Service Building (University of Michigan),/agents/corporate_entities/23
"De Kruif, Paul, 1890-1971.",/agents/people/30
"Bigelow, Poultney, b.1855.",/agents/people/31
"Foster, Bert.",/agents/people/5979
"Merriman, Roger Bigelow, 1876-1945.",/agents/people/7
"Beadle, Frank D., 1899-",/agents/people/32
University of Michigan. Minority Student Concerns Task Force.,/agents/corporate_entities/24
"Clippert, George H.",/agents/people/34
University of Michigan. Commission for Minority Affairs.,/agents/corporate_entities/25
"Douglass, Benjamin.",/agents/people/36
University of Michigan. War Seminar.,/agents/corporate_entities/26
"Mooney, Edward, Archbishop, 1882-1958",/agents/people/5981
"Treanor, Arthur Ryan, 1883-1956.",/agents/people/826
"Griswold, George R., d. 1857.",/agents/people/37
"Javitz, Jacob K. (Jacob Koppel), 1904-",/agents/people/38
"Slayton, Helen Elizabeth.",/agents/people/39
"Walhalla (Estate : Oscoda, Mich.)",/agents/corporate_entities/27
Douglas family.,/agents/families/22
"Rosencrans, William Starke, 1819-1898.",/agents/people/41
University of Michigan. Dept. of English Language and Literature.,/agents/corporate_entities/28
"Price, Derek J. de Solla (Derek John de Solla), 1922-1983.",/agents/people/42
"United States. Army. Michigan Infantry Regiment, 25th (1862-1865). Company C.",/agents/corporate_entities/29
"Moody, Christella D. Personal journey through South Africa. 1991.",/agents/people/4493
University of Michigan. University Committee on Computer Policy and Utilization.,/agents/corporate_entities/30
"Behnke, Larry, 1948-",/agents/people/43
"Angell, William Robert, 1877-1950.",/agents/people/44
"Langley, John Williams, 1841-1918.",/agents/people/45
Task Force on Biblical Authority.,/agents/corporate_entities/31
"Charles Binder Saloon (Ann Arbor, Mich.)",/agents/corporate_entities/32
"Bonner, Campbell, b. 1876.",/agents/people/46
"Wilson, Nel.",/agents/people/47
East Michigan Environmental Action Council.,/agents/corporate_entities/33
"Hodges, Fred Jenner, 1895-",/agents/people/48
"Eschelbach's Meat Market (Ann Arbor, Mich.)",/agents/corporate_entities/34
"Clardy, Kit Francis, 1892-",/agents/people/49
"Heath, Ivon D.",/agents/people/13
Kirby family.,/agents/families/28
Cairo Conference (1943),/agents/corporate_entities/35
"St. Clement Ohridski Church (Detroit, Mich.)",/agents/corporate_entities/36
"Smith, Goff.",/agents/people/52
"Sayers, Joseph Draper, 1841-1929.",/agents/people/9057
"Brandt, Richard B.",/agents/people/54
"Scott, Georgia Jackson.",/agents/people/55
"Marsh, Pliny W., 1876-",/agents/people/56
Michigan Sea Grant Program.,/agents/corporate_entities/218
University of Michigan. Substance Abuse Center.,/agents/corporate_entities/38
